ra_u,dec_u,fpeak_u,fint_u,designation,G_mag,R_mag,Jmag,Kmag,spectrum,redshift,Class,JNAME,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Hmag,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist
135.058182,5.596989,1.2,1.45,J090014.01+053550.0,23.340999603271484,21.67099952697754,18.866,16.683,0,0.0,no_obs,J090014.01+053550.0,0.114,0.104,84.0,15.282,14.474,11.975,8.961,,135.058379,5.597138,0.074,0.07,0.0,1237660411038008157,2,,3,J090014.01+053549.6,,68987912960,2002.8679,3,26.721,0.337,23.365,0.333,21.976,0.166,20.897,0.115,19.925,0.18,,,,,,,,,,,0,,,,0.88601
135.446869,4.432961,1.19,0.9,J090147.31+042558.1,21.56599998474121,20.285999298095703,18.346,16.496,0,0.0,no_obs,J090147.31+042558.1,0.429,0.392,94.0,15.976,15.239,12.148,8.9,,135.446894,4.432962,0.062,0.061,90.0,1237654606925595345,2,,3,J090147.25+042558.6,,140840836141312,2001.1399,3,23.866,1.096,21.832,0.093,20.559,0.05,19.907,0.043,19.281,0.084,,,,,,,,,,,0,,,,0.08869
135.89389,7.188278,1.36,1.83,J090334.58+071117.1,20.913999557495117,19.511999130249023,17.511,15.838,022518,-1.0,?,J090334.58+071117.1,0.148,0.139,80.0,14.697,13.448,10.135,7.67,,135.894117,7.188099,0.029,0.027,0.0,1237658493333995944,1,+,3,J090334.58+071117.1,*,35253360132112,2002.1935,3,22.276,0.314,20.914,0.045,19.512,0.022,19.014,0.022,18.528,0.048,,,,0.31337,0.06175,0.31643,-0.3,5.1,4.0,5.1,0,,,,1.034469
136.039398,-0.123208,1.24,1.29,J090409.51-000723.0,22.625999450683594,21.566999435424805,18.613,16.52,0,0.0,no_obs,J090409.51-000723.0,0.2,0.181,83.0,15.341,14.066,10.26,7.839,,136.039644,-0.123155,0.053,0.049,90.0,1237674460413166447,1,+,6,J090409.51-000723.3,*,68987912448,2007.1985,3,24.383,0.909,22.626,0.124,21.567,0.073,21.11,0.066,20.329,0.119,,,,,,,,,,,0,,,,0.904616
136.21048,-1.756819,2.23,2.75,J090450.52-014524.7,21.17625,20.74213,16.636,14.821,F2M,1.005,QSO,J090450.52-014524.7,0.074,0.072,145.0,12.894,11.479,8.707,6.903,15.923,136.210507,-1.756937,0.042,0.038,0.0,1237654871601971908,1,+,6,J090450.52-014524.9,,68988043776,2001.2134,1,21.993,0.223,21.176,0.048,20.742,0.047,19.898,0.032,18.97,0.058,,,,,,,,,,,0,,,,0.436024
137.831024,9.659,2.41,1.56,J091119.53+093931.8,22.808000564575195,21.5310001373291,18.76,16.891,0,0.0,no_obs,J091119.53+093931.8,0.198,0.185,85.0,15.085,14.525,10.089,7.149,,137.831018,9.658975,0.058,0.049,0.0,1237661068706054529,1,,3,J091119.44+093932.3,,105622104179032,2003.0757,3,23.446,0.695,22.808,0.173,21.531,0.087,20.407,0.053,19.48,0.08,,,,0.87767,0.07931,0.64878,,,,,0,,,,0.094161
138.868927,4.489078,1.24,0.66,J091528.57+042920.9,21.35282,19.73313,17.041,14.673,030113,-1.0,?,J091528.57+042920.9,0.075,0.074,176.0,12.825,11.609,8.892,6.607,16.152,138.868988,4.489156,0.044,0.041,90.0,1237654362113966485,2,,3,J091528.55+042920.9,*,35253360132368,2001.0687,3,23.014,0.706,21.455,0.086,19.741,0.028,18.923,0.022,18.197,0.037,,,,,,,1.5,4.7,-2.0,4.7,0,,,,0.354095
139.028152,7.183164,11.51,12.81,J091606.76+071059.2,22.00951,21.59462,18.718,16.266,030113/021714,1.45,QSO,J091606.76+071059.2,0.137,0.131,88.0,14.777,13.148,9.956,7.526,,139.028263,7.183159,0.136,0.089,0.0,1237658492798435955,1,+,3,J091606.78+071059.3,,140806476399104,2002.1935,3,21.954,0.233,22.01,0.098,21.595,0.11,21.276,0.123,20.569,0.273,,,,0.68304,0.17433,0.52178,,,,,0,,,,0.395462
139.078156,0.859519,2.6,2.49,J091618.73+005134.3,24.08746,22.42871,17.743,15.925,0041314,1.53,QSO,J091618.73+005134.3,0.109,0.104,83.0,14.352,12.876,9.518,7.25,,139.078155,0.859493,0.151,0.09,0.0,1237653663643468208,2,,6,J091618.75+005134.1,,387099228508464,2000.9157,3,24.486,1.176,24.548,0.908,22.222,0.202,20.542,0.081,19.484,0.115,,,,,,,,,,,0,,,,0.09446
140.1465,6.364375,1.32,1.63,J092035.18+062152.6,19.981000900268555,18.77199935913086,16.664,14.851,040418,0.193,NLAGN,J092035.18+062152.6,0.118,0.11,80.0,14.219,13.476,9.201,6.971,15.47,140.146538,6.364582,0.066,0.055,90.0,1237658300599828493,1,,3,J092035.16+062152.4,,52879906181392,2002.1199,3,26.091,0.955,19.981,0.027,18.772,0.014,18.006,0.011,17.685,0.026,,,,0.33427,0.07168,0.31728,-4.1,2.9,-3.4,2.9,0,,,,0.757427
140.366333,2.607455,1.13,1.52,J092127.93+023627.4,22.49779,22.18034,19.331,16.893,041614,1.5,QSO,J092127.93+023627.4,0.181,0.169,74.0,15.25,13.936,10.967,8.555,,140.366351,2.607515,0.125,0.116,90.0,1237653665791541693,2,,3,J092127.92+023627.0,,217164284160,2000.9157,3,22.819,0.402,22.772,0.193,21.917,0.142,21.765,0.203,21.168,0.437,,,,,,,,,,,0,,,,0.224564
140.979324,2.598125,9.0,8.73,J092355.06+023553.1,23.62197,21.88839,18.33,16.445,041414,2.09,QSO,J092355.06+023553.1,0.229,0.214,92.0,15.337,14.217,10.911,8.267,,140.979317,2.598184,0.075,0.064,90.0,1237654604243599525,1,+,6,J092355.03+023553.4,,105622138130736,2001.1399,3,24.306,0.902,23.622,0.37,21.888,0.102,20.776,0.054,19.73,0.086,,,,,,,,,,,0,,,,0.213122
141.260605,5.478447,1.18,1.0,J092502.50+052842.8,25.2272,22.77061,18.413,16.53,041514,-1.0,?,J092502.50+052842.8,0.271,0.251,92.0,15.402,14.786,11.469,8.228,,141.2604,5.478528,0.061,0.058,0.0,1237658299526546486,1,,6,J092502.49+052842.7,,281543964623616,2002.1199,3,25.438,0.718,25.227,0.63,22.771,0.198,20.866,0.052,20.405,0.146,,,,,,,,,,,0,,,,0.7915
141.265381,3.909531,3.56,3.4,J092503.68+035434.6,22.35075,22.26649,18.969,16.919,041314,1.18,QSO,J092503.68+035434.6,0.314,0.286,92.0,15.716,14.622,12.492,8.299,,141.265351,3.909531,0.121,0.106,90.0,1237673709870448968,2,,3,J092503.68+035434.3,,2278815695176,2006.8815,3,22.338,0.341,22.573,0.152,22.531,0.238,21.341,0.132,20.661,0.321,,,,,,,,,,,0,,,,0.108408
141.888718,6.006992,1.02,2.09,J092733.29+060026.6,23.815000534057617,21.53499984741211,18.867,16.902,GNIRS,0.0,no_obs,J092733.29+060026.6,0.28,0.252,81.0,15.474,14.771,10.964,8.147,,141.888503,6.006982,0.085,0.074,0.0,1237658300063679076,1,+,3,J092733.24+060025.1,,105622137864464,2002.1199,3,23.586,0.693,23.815,0.472,21.535,0.084,20.855,0.07,20.243,0.129,,,,0.42292,0.03164,0.47285,,,,,0,,,,0.770251
142.264297,8.078195,1.55,1.55,J092903.39+080441.2,23.21439,21.16796,18.659,16.161,030113,-1.0,?,J092903.39+080441.2,0.159,0.15,81.0,14.644,13.909,10.209,8.248,,142.264167,8.078143,0.138,0.094,0.0,1237660668738535951,2,,3,J092903.40+080441.3,*,105624251662608,2002.9527,3,22.631,0.762,23.031,0.591,20.589,0.107,19.919,0.094,19.024,0.161,,,,,,,,,,,0,,,,0.499657
143.06366,2.492233,1.14,0.95,J093215.33+022932.6,22.81599998474121,21.819000244140625,,16.936,GNIRS,0.0,no_obs,J093215.33+022932.6,0.127,0.12,86.0,14.542,13.085,9.79,7.466,,143.063896,2.492358,0.201,0.192,90.0,1237653665792721551,2,,3,J093215.33+022932.4,,281543964623104,2000.9157,3,22.458,0.413,23.211,0.438,21.498,0.143,20.733,0.117,20.433,0.369,,,,,,,,,,,0,,,,0.959863
144.356262,1.554864,1.0,0.92,J093725.60+013316.8,20.724000930786133,19.493000030517578,17.471,15.797,0,0.0,no_obs,J093725.60+013316.8,0.236,0.215,80.0,15.301,14.547,10.601,8.284,16.167,144.356693,1.554646,0.034,0.029,0.0,1237651753457877334,1,+,3,J093725.60+013316.7,,68988044032,2000.3428,3,22.306,0.417,20.724,0.044,19.493,0.024,18.903,0.021,18.438,0.056,,,,0.26173,0.05662,0.26651,-5.6,5.5,-4.0,5.5,0,,,,1.738724
146.617599,0.287219,4.28,4.95,J094628.24+001713.8,23.72848,22.09976,18.773,16.747,041314,-1.0,?,J094628.24+001713.8,0.339,0.308,84.0,15.667,15.155,12.345,8.597,,146.617666,0.287233,0.095,0.091,0.0,1237648721753014831,1,+,3,J094628.23+001714.0,,68988043520,1999.2203,3,24.119,0.792,23.728,0.349,22.1,0.123,20.938,0.073,20.283,0.154,,,,0.63657,0.04619,0.5893,,,,,0,,,,0.246079
146.931091,3.034814,8.77,8.94,J094743.45+030205.2,23.18502,21.98312,18.881,16.272,021714,2.35,QSO,J094743.45+030205.2,0.266,0.238,74.0,15.702,14.453,11.334,8.848,,146.931113,3.034816,0.096,0.075,90.0,1237651737889997310,2,,6,J094743.46+030205.3,,140851640664392,2000.34,1,25.449,0.946,22.951,0.179,21.971,0.144,21.337,0.121,21.09,0.287,,,,,,,,,,,0,,,,0.078447
146.997818,-1.845892,1.37,1.08,J094759.44-015046.2,21.41699981689453,19.95599937438965,17.485,15.207,022518,-1.0,?,J094759.44-015046.2,0.107,0.102,90.0,13.897,12.969,10.039,7.599,,146.997684,-1.84622,0.03,0.027,0.0,1237650804802453817,1,+,3,J094759.44-015046.3,*,35253360001296,2000.1734,3,22.645,0.412,21.417,0.069,19.956,0.029,19.336,0.024,18.781,0.058,,,,0.38892,0.07199,0.38485,-3.9,5.1,-3.6,5.1,0,,,,1.275893
147.208603,10.480772,1.53,1.92,J094850.03+102851.3,22.1132,21.28862,18.103,16.192,030213,-1.0,?,J094850.03+102851.3,0.138,0.133,76.0,14.443,13.303,10.825,8.717,,147.208506,10.480912,0.101,0.086,0.0,1237660670888313429,1,+,3,J094850.04+102851.2,,68987912448,2002.9527,3,24.373,1.346,22.113,0.145,21.289,0.114,20.364,0.085,19.298,0.113,,,,0.28033,0.13296,0.58307,,,,,0,,,,0.61109
