ra_x,dec_x,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,Fpk,Hpk,redshift,specObjID,class,JNAME,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,angDist,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist_x,RAdeg_x,DEdeg_x,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,objID_x,mode_x,q_mode_x,class_xa,SDSS12_x,m_SDSS12_x,flags_x,ObsDate_x,Q_x,umag_x,e_umag_x,gmag_x,e_gmag_x,rmag_x,e_rmag_x,imag_x,e_imag_x,zmag_x,e_zmag_x,zsp_x,e_zsp_x,f_zsp_x,zph_x,e_zph_x,avg_zph_x,pmRA_x,e_pmRA_x,pmDE_x,e_pmDE_x,SpObjID_x,spType_x,spCl_x,subClass_x,angDist_xa
0.062537,-0.578794,22.2703,20.06885,19.78327,19.064283,18.481094,17.63439,17.652925,4.427629,2.4870298,1.3021754,3.789205,-999.0,-999.0,-999.0,Gemini,none,J000015.00-003443.6,0.208,0.189,124.0,14.955,14.484,12.246,8.835,,,,0.041,0.065,,,,,,100001241002999,0000,0,00nn,AAUU,,0.205547,0.062537,-0.578782,0.098,0.098,0.0,1237660235495637881,2,,3,J000015.00-003443.6,*,281640601518848,2002.8315,3,25.203,1.73,23.443,0.569,22.038,0.24,20.571,0.095,19.78,0.192,,,,,,,,,,,0,,,,0.04465,0.062504,-0.578767,0.108,0.092,90.0,1237663542622290960,2,,3,J000015.00-003443.5,*,281543964623104,2003.8117,3,26.418,0.721,23.514,0.537,21.901,0.202,20.513,0.086,19.447,0.12,,,,,,,,,,,0,,,,0.064383
0.069474,0.089717,21.6781,20.202389,19.708937,19.207716,18.771132,18.017138,17.556839,3.6486623,1.9691637,0.93780506,2.9069686,-999.0,-999.0,999.0,NIRES080218,?,J000016.67+000522.9,0.214,0.193,117.0,15.428,14.203,10.266,7.757,,,,0.05,0.054,0.064,0.15,,,,100001241018075,0000,0,0111,AAAB,,0.482891,0.069431,0.089657,0.114,0.106,90.0,1237667172926161428,2,,3,J000016.66+000522.7,*,175992995971344,2004.9504,3,24.349,1.122,23.496,0.342,21.545,0.106,20.413,0.062,19.743,0.155,,,,,,,,,,,0,,,,0.265752,0.069446,0.089605,0.091,0.06,90.0,1237663277390889592,2,,3,J000016.66+000522.5,*,35255507484944,2003.7408,3,24.17,1.217,22.823,0.212,21.478,0.098,20.323,0.055,19.941,0.17,,,,,,,,,,,0,,,,0.0906
0.134173,0.695095,21.9563,20.369802,19.740633,19.582993,18.790592,18.524115,18.444016,3.6614664,2.2156675,0.9500407,3.165708,-999.0,-999.0,-999.0,0,none,J000032.20+004142.3,0.345,0.312,123.0,15.742,15.269,12.092,8.491,,,,0.061,0.131,0.344,0.319,,,,100001241033410,0000,0,00nn,ABBB,,0.404517,0.134169,0.695083,0.676,0.67,0.0,1237657363759301021,2,,3,J000032.20+004142.2,,105622104178960,2001.9417,2,25.141,1.634,24.677,1.143,24.091,0.928,20.98,0.106,21.46,0.539,,,,,,,,,,,0,,,,0.044809,0.134045,0.69504,0.278,0.158,0.0,1237645879019110831,2,,3,J000032.17+004142.1,,35191083106576,1998.7168,3,24.721,1.271,24.864,0.86,21.921,0.157,20.931,0.107,20.086,0.193,,,,,,,,,,,0,,,,0.144396
0.148627,0.954599,21.4646,19.758677,19.176252,18.59557,18.133766,17.54958,17.5643,3.395147,2.288347,1.0424861,3.330833,-999.0,-999.0,-999.0,0,none,J000035.67+005716.5,0.209,0.196,135.0,14.912,14.354,12.137,8.431,,,,0.04,0.065,0.356,,,,,101501241003080,0000,0,11nn,AACU,,0.045273,0.148631,0.954576,0.171,0.124,90.0,1237666650032439729,2,,3,J000035.67+005716.4,*,68987912448,2004.8439,2,23.911,1.434,22.397,0.176,21.474,0.123,20.68,0.097,19.977,0.191,,,,,,,,,,,0,,,,0.08334,0.148631,0.954576,0.171,0.124,90.0,1237666650032439729,2,,3,J000035.67+005716.4,*,68987912448,2004.8439,2,23.911,1.434,22.397,0.176,21.474,0.123,20.68,0.097,19.977,0.191,,,,,,,,,,,0,,,,0.127529
0.192235,-0.534088,21.1863,19.772924,19.500998,18.896547,18.531534,18.9445,18.713732,3.275503,1.6853025,0.9694632,2.6547656,-999.0,-999.0,-999.0,0,none,J000046.13-003202.7,0.49,0.43,122.0,16.204,15.606,11.422,8.805,,,,0.087,0.168,0.176,0.443,,,,100001241001800,0000,0,0nnn,ABBC,,0.624881,0.192258,-0.534096,0.127,0.109,90.0,1237657362148753819,2,,3,J000046.14-003202.7,*,68987912448,2001.9417,2,22.449,0.614,22.554,0.272,21.047,0.096,20.503,0.082,19.855,0.174,,,,,,,,,,,0,,,,0.088648,0.192273,-0.534128,0.083,0.08,0.0,1237660235495702777,2,,3,J000046.14-003202.8,*,68987912448,2002.8315,3,22.64,0.452,22.732,0.188,21.256,0.077,20.503,0.058,19.857,0.136,,,,,,,,,,,0,,,,0.631917
0.567052,0.621691,22.3845,19.702408,19.731567,19.13925,18.790096,18.9538,18.83985,2.3834321,2.652933,0.941471,3.5944037,-999.0,-999.0,-999.0,0,none,J000216.09+003718.0,0.418,0.378,118.0,15.912,15.568,12.496,8.816,,,,0.073,0.164,,,,,,100001241030517,0000,0,1nnn,ABUU,,0.322189,0.567086,0.621583,0.047,0.046,90.0,1237663277928022670,1,+,3,J000216.10+003717.6,*,35253360001296,2003.7408,3,23.735,0.757,22.025,0.102,20.786,0.05,20.092,0.044,19.872,0.122,,,,0.45526,0.11448,0.45143,,,,,0,,,,0.407899,0.567086,0.621583,0.047,0.046,90.0,1237663277928022670,1,+,3,J000216.10+003717.6,*,35253360001296,2003.7408,3,23.735,0.757,22.025,0.102,20.786,0.05,20.092,0.044,19.872,0.122,,,,0.45526,0.11448,0.45143,,,,,0,,,,0.244932
0.89695,-0.853132,21.6727,20.164904,19.68032,19.444046,18.82614,18.495144,18.555216,3.0971792,1.9923799,0.8541812,2.846561,-999.0,-999.0,-999.0,0,none,J000335.26-005111.2,0.442,0.418,141.0,15.952,15.285,11.926,8.706,,,,0.078,0.144,,0.498,,,,15001601241038096,0000,0,01nn,ABUC,,0.288006,0.897,-0.853141,0.121,0.102,0.0,1237666381048447344,2,,3,J000335.28-005111.3,,143188035764480,2004.7702,1,22.819,0.583,22.584,0.187,21.879,0.137,20.731,0.062,20.094,0.137,,,,,,,,,,,0,,,,0.183258,0.896998,-0.853196,0.162,0.126,0.0,1237666634460955063,2,,3,J000335.27-005111.5,*,439873639153920,2004.8411,2,22.393,0.548,22.624,0.359,21.467,0.15,20.531,0.096,19.878,0.193,,,,,,,,,,,0,,,,0.00839
1.048396,0.220706,21.3521,19.879957,19.562054,19.061491,18.58928,18.880589,18.582056,3.7069452,1.7900465,0.9727744,2.7628207,-999.0,-999.0,-999.0,0,none,J000411.61+001314.5,0.493,0.431,123.0,16.074,16.168,12.582,8.625,,,,0.078,0.278,,,,,,15100001241029014,0000,0,0nnn,ABUU,,0.252792,1.048395,0.220699,0.156,0.142,90.0,1237646011620459086,2,,6,J000411.61+001314.5,,281543964623104,1998.7332,2,25.754,1.043,23.4,0.435,21.35,0.118,20.636,0.075,20.207,0.221,,,,,,,,,,,0,,,,0.025464,1.04842,0.220641,0.11,0.092,0.0,1237663741247685384,2,,3,J000411.62+001314.3,,251524022528,2003.8827,3,23.149,0.702,23.431,0.44,21.069,0.09,20.171,0.056,19.954,0.204,,,,,,,,,,,0,,,,0.014821
2.9154,-0.17364,22.328,20.269125,19.460985,19.313692,18.569656,17.359503,16.895254,3.6648138,2.8670137,0.8913287,3.7583423,-999.0,-999.0,-999.0,0,none,J001139.69-001025.1,0.164,0.152,130.0,14.8,13.514,11.124,7.952,,,,0.038,0.04,0.153,0.206,,,,30100001241012617,0000,0,00n3,AABB,,0.204084,2.915407,-0.173656,0.093,0.089,90.0,1237645877946549134,2,,3,J001139.69-001025.1,*,281543964623104,1998.7168,3,24.214,1.207,23.039,0.299,22.357,0.241,20.975,0.108,20.115,0.225,,,,,,,,,,,0,,,,0.063994,2.915436,-0.173682,0.137,0.118,90.0,1237663203841671950,2,,3,J001139.70-001025.2,,281640601387776,2003.7353,3,23.491,0.657,23.237,0.243,22.536,0.201,21.456,0.115,20.867,0.272,,,,,,,,,,,0,,,,0.081003
3.062437,0.807144,22.395,20.113674,19.478487,19.022444,18.68961,17.535511,17.013062,4.4682117,2.9165132,0.78887737,3.7053905,-999.0,-999.0,-999.0,0,none,J001214.98+004825.7,0.185,0.17,122.0,15.171,13.592,10.566,7.839,,,,0.045,0.042,0.091,,,,,30101501241002789,0000,0,111n,AAAU,,0.227402,3.062438,0.807122,0.096,0.088,0.0,1237660237107561361,2,,6,J001214.98+004825.6,*,68987912448,2002.8316,3,25.035,0.833,24.057,0.411,22.26,0.146,21.321,0.099,20.59,0.184,,,,,,,,,,,0,,,,0.079741,3.062474,0.807115,0.135,0.115,0.0,1237663204915479237,2,,6,J001214.99+004825.6,,68987912960,2003.7353,3,23.346,0.703,23.619,0.424,22.184,0.185,21.16,0.12,20.162,0.171,,,,,,,,,,,0,,,,0.128439
