counter,RA,DEC,G_mag,R_mag,J_mag,K_mag,W1mag,W2mag,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class,U_mag,I_mag,Z_mag
182,23:18:03.03,+00:09:49.3,23.6101,22.0933,19.780508,18.803232,17.174395,16.914455,4.675730300903321,5.399697635650635,-999.0,-999.0,-999.0,0,none,24.746,20.371,19.335
74,01:58:21.09,+00:27:52.7,22.806,21.9611,19.82468,18.769571,17.981083,17.459742,4.469256099700928,4.5163005867004395,1.43,1.35,1.352,NIRES091818,QSO,22.818,21.184,20.385
9,00:04:11.62,+00:13:14.3,23.269,21.3521,19.562054,18.58928,18.880589,18.582056,5.1634283409118655,4.658480529785156,-999.0,-999.0,-999.0,0,none,23.15,20.182,19.964
216,23:43:27.59,-00:33:48.1,23.1697,21.6726,20.018776,18.889189,18.226269,18.054785,4.317666881561279,4.048205108642578,-999.0,-999.0,-999.0,0,none,22.875,20.573,20.14
130,22:25:12.61,+00:37:34.7,22.9488,21.8369,20.033295,17.102247,19.06589,19.020247,9.143940673828125,6.046041000366211,-999.0,-999.0,-999.0,0,none,24.116,21.239,21.189
71,01:57:25.40,-00:51:14.6,22.4808,21.2006,19.570675,18.556599,17.626598,17.351961,4.39398454284668,4.146215274810791,-999.0,-999.0,0.583,Gemini18B,QSO,25.643,20.579,20.197
16,00:15:52.05,-00:59:15.6,23.1471,21.6604,19.971056,18.851816,18.694536,18.780142,4.850057750701905,3.8054020042419436,-999.0,-999.0,-999.0,0,none,24.134,20.934,20.343
205,23:36:21.76,+00:52:25.2,22.497,21.4211,19.430565,18.190762,17.257559,16.97206,4.91356799697876,5.650602951049805,-999.0,-999.0,-999.0,0,none,23.14,19.894,19.324
126,22:24:09.44,-00:15:23.9,23.5393,22.9742,19.717018,17.971811,17.905102,17.479963,3.7165393981933597,3.4708608283996583,-999.0,-999.0,2.22,Gemini,QSO,24.877,21.82,21.65
64,01:53:37.11,-00:38:13.0,22.9359,21.9708,19.662199,18.596663,19.040916,19.135971,6.12366459274292,6.299298728942872,-999.0,-999.0,-999.0,Gemini18B,none,,,
11,00:12:15.00,+00:48:25.7,23.9467,22.395,19.478487,18.68961,17.535511,17.013062,4.105442882537842,3.4036914825439455,-999.0,-999.0,-999.0,0,none,23.339,21.17,20.178
104,22:08:45.96,+00:37:43.5,22.9371,20.9344,19.254114,18.251202,18.462442,18.483479,7.616030754089356,8.61390259552002,-999.0,-999.0,999.0,TSPEC082918,??,24.914,20.135,19.395
160,22:51:55.04,+01:02:43.4,23.8958,21.4062,19.63998,18.720953,18.436796,18.500093,5.365720767974854,7.608189880371094,-999.0,-999.0,-999.0,NIRES092218,none,26.901,20.109,19.3
49,00:50:03.70,-00:12:07.3,22.9633,21.5985,18.999687,18.230623,18.57537,18.57858,3.2534093284606933,2.9962311630249023,-999.0,-999.0,-999.0,Gemini,none,23.054,19.724,19.398
224,23:48:12.30,-00:50:12.6,22.609,21.1276,19.416544,18.507973,18.828014,18.737932,6.685589218139649,5.417208744049073,-999.0,-999.0,-999.0,0,none,26.577,20.3,19.833
211,23:40:03.28,+00:31:22.2,23.1593,21.4226,19.896946,18.74853,19.133343,19.216005,5.917190013885499,6.066427196502686,-999.0,-999.0,-999.0,0,none,23.988,21.113,20.629
62,01:52:52.36,+00:25:08.0,22.7449,21.1421,19.34337,18.539125,18.166182,18.034271,7.267899284362794,6.099358337402344,-999.0,-999.0,-999.0,0,none,24.484,20.534,20.024
141,22:34:56.25,+00:05:30.7,23.0998,21.4567,19.856535,18.82419,18.735205,18.722849,8.70642505645752,5.332527912139893,-999.0,-999.0,-999.0,0,none,22.356,20.005,19.382
30,00:23:23.35,+00:50:05.3,23.0183,21.3112,19.609398,18.706873,19.053808,19.138788,5.823100662231446,5.4548447113037115,-999.0,-999.0,-999.0,0,none,25.731,20.64,20.169
171,23:05:51.49,-00:22:44.6,23.218,21.5843,19.71894,18.738487,18.922981,18.953276,7.828253997802735,6.140914741516114,-999.0,-999.0,-999.0,NIRES091818,none,23.319,20.906,20.656
24,00:21:17.54,+00:15:05.4,23.0772,21.445,19.897892,18.766512,17.920576,17.905872,4.996158130645752,4.466119674682617,-999.0,-999.0,-999.0,0,none,25.703,19.903,19.312
140,22:34:30.53,+00:05:57.5,22.9573,21.2383,19.68024,18.551361,18.896025,18.880016,6.450364517211915,6.991379516601563,-999.0,-999.0,-999.0,0,none,26.173,20.459,19.427
194,23:27:18.28,+00:42:52.9,23.4302,21.4754,19.568232,18.783468,18.235868,18.010054,11.796745948791504,11.215480476379396,-999.0,-999.0,-999.0,0,none,23.855,20.513,19.903
57,01:47:24.56,+00:15:29.2,22.1109,21.0349,19.447983,18.277002,16.9584,16.33638,4.666844078063965,5.548934062957764,-999.0,-999.0,-999.0,TSPEC082818,none,25.93,20.667,21.062
208,23:38:04.57,+00:52:13.1,23.7703,21.8756,19.414211,17.883938,16.502172,16.138258,4.197441535949707,8.715049186706544,-999.0,-999.0,-999.0,0,none,22.51,20.92,19.518
125,22:23:52.60,-00:47:48.8,23.1344,21.564,19.634243,18.841915,19.191797,19.229916,4.8529324607849125,3.7803109817504885,-999.0,-999.0,-999.0,NIRES091818,none,25.81,21.034,20.34
18,00:17:42.14,+00:37:17.9,22.6011,22.0745,19.735699,18.87875,19.073723,19.142057,6.200504550933839,7.203081596374512,-999.0,-999.0,-999.0,0,none,22.79,20.039,19.41
10,00:11:39.70,-00:10:25.3,23.1258,22.328,19.460985,18.569656,17.359503,16.895254,5.177803024291992,3.7071301231384277,-999.0,-999.0,-999.0,0,none,23.492,21.464,20.88
152,22:48:06.28,+00:33:11.1,24.4809,22.7865,19.783106,18.818525,17.339958,17.265293,3.467201728820801,4.443120105743408,-999.0,-999.0,0.88,Gemini,QSO,24.976,21.468,20.731
124,22:22:43.35,-00:29:56.1,22.657,21.3166,19.198795,18.372616,18.937078,18.852842,3.8994913558959965,3.587950126647949,-999.0,-999.0,-999.0,0,none,25.677,20.612,20.003
164,22:58:52.53,+00:18:39.8,23.1365,21.7715,19.874706,18.649614,18.929468,18.889223,6.699702186584473,3.8033109283447266,-999.0,-999.0,-999.0,NIRES092218,none,23.085,20.835,20.175
201,23:30:54.91,+00:56:56.9,23.3269,21.59,19.866182,18.762281,18.960617,18.887865,6.217754322052002,5.991155261993408,-999.0,-999.0,-999.0,0,none,24.281,20.959,22.592
203,23:33:07.40,+00:55:06.4,22.8613,21.6184,20.108574,18.839222,18.514269,18.550991,4.4786649971008305,5.934701499938965,-999.0,-999.0,-999.0,0,none,26.78,20.535,19.832
150,22:46:26.06,+00:48:08.5,22.9831,21.2728,19.64929,18.640886,18.932909,18.851236,4.725650253295899,5.120565250396729,-999.0,-999.0,999.0,NIRES092218,?,24.265,20.583,19.913
196,23:28:01.96,-00:28:22.1,22.1886,20.7876,19.21418,17.895296,16.86127,16.672306,6.251731189727783,5.233472774505615,-999.0,-999.0,-999.0,0,none,23.67,20.263,19.915
112,22:14:38.06,+00:49:09.2,22.4646,21.082,19.31235,17.994434,18.144482,18.041004,6.960016777038574,5.772919750213624,-999.0,-999.0,999.0,TSPEC082818,??,25.06,20.359,19.749
4,00:00:32.18,+00:41:42.1,23.4021,21.9563,19.740633,18.790592,18.524115,18.444016,4.812683120727539,4.537471172332764,-999.0,-999.0,-999.0,0,none,24.722,20.941,20.096
