U_mag,G_mag,R_mag,I_mag,Z_mag,ra,dec,flags_r,W1mag,W2mag,J_mag,K_mag,class
23.262491,25.114395,24.802029,24.361803,22.826906,270.4338558,0.01460608,9.01E+15,6.873,6.964,8.543,7.008,GALAXY
19.790581,25.132282,24.814976,16.303497,22.833958,269.3215079,-0.26112222,9.01E+15,10.485,10.608,11.686,10.61,GALAXY
19.803062,25.114174,24.802031,18.901155,22.826824,270.5730923,-0.6905567,9.01E+15,10.96,11.016,11.778,11.066,GALAXY
19.378746,25.11278,24.80381,17.606855,22.827036,269.4261927,-0.24029483,9.01E+15,13.191,13.294,13.779,13.398,GALAXY
20.758732,27.515955,25.963022,25.328333,23.374725,272.6567174,0.6362925,9.01E+15,12.735,12.83,13.962,12.949,GALAXY
21.28499,25.225531,24.783787,24.413221,22.870483,272.1064745,0.73116421,9.01E+15,13.159,13.148,14.191,13.377,GALAXY
20.660074,25.120094,24.808643,24.3664,22.828928,271.1830424,-0.61388675,9.01E+15,13.882,13.908,14.846,14.094,GALAXY
24.543068,25.113441,24.801857,24.368334,22.832031,269.4616027,-1.1193739,1.58E+16,14.088,14.332,14.976,14.177,GALAXY
22.544767,25.285505,24.872349,24.457933,22.774422,270.7287078,0.31249192,9.01E+15,14.106,14.207,15.218,14.431,GALAXY
21.694897,25.108391,25.295103,23.572052,24.593962,270.7634786,-0.97378539,9.01E+15,14.571,14.873,15.359,14.646,GALAXY
19.736938,27.940285,24.166576,24.403099,25.279663,271.8053949,-1.12793085,1.13E+16,14.734,14.862,15.365,14.39,GALAXY
24.63468,25.114391,24.802042,24.361809,16.445179,269.7923976,-1.23770899,1.35E+16,14.504,14.682,15.374,14.477,GALAXY
21.839058,25.112474,24.802647,24.362118,22.60199,267.9961907,-0.2464673,9.01E+15,14.041,13.761,15.622,14.529,GALAXY
25.749336,25.112373,24.805414,20.44515,22.82892,267.9172486,0.02111237,9.01E+15,14.852,15.04,15.649,15.239,GALAXY
20.771795,25.114811,24.801409,24.360924,22.826811,270.6392532,-0.99641489,1.35E+16,14.989,14.999,15.705,15.432,GALAXY
25.00601,25.114388,21.503044,18.946764,17.779556,271.896458,-1.01184645,4.57E+15,14.514,14.382,15.794,14.675,GALAXY
26.139597,26.680607,25.926649,18.1507,23.796244,272.0616818,0.69594426,9.01E+15,15.092,15.277,15.833,15.252,GALAXY
25.305843,24.738489,24.803194,18.954102,17.830877,271.6321457,1.01714559,9.01E+15,14.712,14.905,15.849,14.827,GALAXY
22.143646,29.671936,29.101635,28.659512,27.923458,268.8596162,-0.34498085,1.35E+16,14.863,15.407,15.887,15.352,GALAXY
24.718969,25.236359,24.855848,24.670027,16.639791,271.9445193,-0.57700425,1.35E+16,14.734,14.886,15.928,15.086,GALAXY
20.372326,27.206276,24.801617,25.084208,23.757406,272.4215099,0.23269548,9.01E+15,15.264,16.059,15.976,15.313,GALAXY
24.615114,25.120344,21.041168,19.566769,19.905787,269.054003,-0.67841625,4.50E+15,14.713,14.887,16.078,15.053,GALAXY
25.944998,25.136539,24.81954,19.24206,18.586914,271.1995275,0.86177179,9.01E+15,14.111,13.796,16.086,14.098,GALAXY
24.235825,22.143368,21.048225,20.872261,22.824652,271.8848351,-0.55143677,4.50E+15,14.853,14.965,16.092,15.076,GALAXY
25.885176,24.069914,21.04454,19.083424,17.848354,272.0551838,-0.63661866,6.83E+15,14.799,14.733,16.094,15.282,GALAXY
23.596888,25.116459,23.772078,20.30051,18.478266,270.2057788,0.27118986,4.50E+15,14.941,15.207,16.101,15.279,GALAXY
20.795582,23.695377,24.131313,24.361834,22.831917,269.6276985,0.27919264,9.01E+15,16.139,16.81,16.186,15.618,GALAXY
23.151022,25.115545,24.794041,24.360718,18.463995,270.9583549,0.30742726,9.01E+15,14.88,14.804,16.223,15.244,GALAXY
23.916798,25.124062,24.813675,24.361279,22.826363,270.01502,-1.17943626,9.01E+15,15.669,16.01,16.23,15.303,GALAXY
21.596739,25.117067,24.807222,24.368662,22.831844,269.8973451,-0.23226441,9.01E+15,15.382,16.401,16.231,15.424,GALAXY
22.499386,23.875597,24.802357,20.829111,19.429359,267.9721823,-0.7114082,9.01E+15,15.358,15.996,16.269,14.817,GALAXY
23.840103,24.044317,22.352547,21.66375,17.24732,271.5092815,0.06486068,1.37E+16,15.132,14.969,16.365,15.187,GALAXY
22.68742,23.212343,21.205091,19.484337,18.158291,269.1287588,-0.82799832,2.31E+18,15.412,15.932,16.379,15.19,GALAXY
23.300032,25.167765,24.857725,18.639704,17.866299,272.083005,0.98218622,9.01E+15,14.079,13.919,16.395,14.403,GALAXY
23.510641,25.119284,24.814083,20.44879,17.628057,271.9776925,-0.72578388,1.35E+16,15.235,15.464,16.404,15.065,GALAXY
25.282812,23.275026,21.182272,20.023991,19.109055,268.8294404,-0.70308819,4.50E+15,15.146,15.347,16.406,15.588,GALAXY
26.172125,22.954285,21.656466,19.562288,18.248646,271.5997079,-0.81656334,4.50E+15,15.415,15.776,16.413,15.222,GALAXY
25.461531,23.282764,21.324982,20.043423,19.228765,269.3054227,-0.74359881,4.50E+15,13.983,13.379,16.419,14.877,GALAXY
20.566494,26.779367,26.283512,25.377028,24.034054,270.7224364,0.31494177,9.01E+15,15.544,16.018,16.423,15.183,GALAXY
25.191633,23.019016,24.802052,20.290607,20.675983,271.3795567,0.66362361,9.01E+15,15.543,15.563,16.44,15.544,GALAXY
25.9566,23.817692,21.127047,19.242798,18.050476,269.2383712,-0.61370572,4.50E+15,15.116,15.163,16.466,15.205,GALAXY
24.635344,25.079681,24.802969,24.362526,18.904686,269.7607653,0.89853285,1.35E+16,15.202,14.884,16.485,15.431,GALAXY
24.634865,24.278185,21.835323,20.004257,18.417028,272.0781377,0.73595298,1.13E+16,14.792,14.967,16.49,15.026,GALAXY
26.154993,22.860796,21.385582,20.37155,19.62167,269.9377032,0.20203905,4.57E+15,14.215,13.999,16.511,14.952,GALAXY
21.782171,25.058392,24.812357,24.688747,23.103189,267.6193141,-0.67855758,9.01E+15,15.995,16.334,16.524,15.204,GALAXY
17.548311,31.030115,29.521313,29.322226,27.40218,270.106375,-1.0717117,1.35E+16,15.834,16.649,16.565,15.841,GALAXY
22.809574,22.80892,25.667801,24.701347,23.024099,268.0354655,-0.59085073,9.01E+15,15.402,15.517,16.598,15.576,GALAXY
26.187895,26.214157,21.073076,19.553835,18.790304,272.841678,-1.08137064,6.76E+15,14.369,14.025,16.605,15.04,GALAXY
25.554213,22.528149,21.313896,19.405603,18.465628,270.1277347,-0.52248856,2.31E+18,16.244,16.107,16.608,16.52,GALAXY
25.085083,25.114922,22.10535,20.509315,19.239363,269.7421479,0.24102916,1.35E+16,15.496,15.747,16.627,16.818,GALAXY
23.309256,25.117586,21.871803,20.78487,20.258364,270.3826725,-0.78905542,4.57E+15,15.79,16.109,16.653,15.934,GALAXY
25.005865,24.08894,22.566349,19.038403,20.928133,268.3111487,-1.0202704,8.56E+16,15.406,15.251,16.674,15.011,GALAXY
25.155771,22.888733,21.088552,19.690262,18.578051,270.7402228,-0.1383147,4.57E+15,16.243,15.911,16.697,16.344,GALAXY
25.339926,25.194942,23.031887,19.369905,18.663853,271.8197486,0.90035622,8.56E+16,15.749,16.502,16.699,15.427,GALAXY
23.191685,23.70549,21.201258,19.736519,18.662949,270.4956527,-0.78241976,4.57E+15,15.574,16.093,16.737,15.371,GALAXY
27.344645,26.779516,26.860329,18.129942,24.974264,270.9566437,-0.5776368,1.35E+16,15.584,15.687,16.773,15.521,GALAXY
24.046368,24.344753,24.30522,23.124432,20.156826,271.9550029,-0.34318009,4.57E+15,15.498,15.556,16.805,15.548,GALAXY
22.83802,23.721542,22.16016,20.00964,18.837559,270.3230384,-0.6116512,4.57E+15,15.644,16.033,16.921,15.61,GALAXY
24.411362,22.778824,21.067057,19.495764,18.460386,268.5656669,0.07958599,4.57E+15,15.441,15.416,16.923,15.628,GALAXY
24.164944,22.958408,21.245914,19.606232,19.030199,268.552732,-0.12771194,2.31E+18,15.431,15.767,16.955,15.74,GALAXY
23.646076,24.492172,22.146151,20.280149,19.195168,270.497788,-0.66581564,4.57E+15,14.789,14.638,17.093,15.341,GALAXY
