,RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,class
170,19.65211487,0.268956661,23.954369,22.967016,21.41578,20.543003,20.187637,19.686089,19.363045,18.889372,19.234608,19.569092,faint_Galaxy
143,349.7147827,0.757458031,23.773298,22.43832,21.622011,20.479614,19.972914,19.442978,19.178448,19.032701,18.324,18.643862,faint_Galaxy
147,15.92798615,-0.047306392,22.952532,22.405767,21.571316,20.954424,20.546242,20.120186,20.419825,19.373707,19.62047,19.802382,faint_Galaxy
201,16.65104485,0.081650421,24.375166,22.647417,21.130793,20.4152,20.086987,19.468924,19.223557,19.330076,19.470192,19.504229,faint_Galaxy
149,16.55214691,-0.062197309,23.205399,22.446001,21.545475,20.875698,20.53188,20.021072,19.881033,19.123093,19.513845,19.847084,faint_Galaxy
146,24.29546928,-0.119761489,23.785997,23.034382,21.610844,20.30452,19.752506,19.25069,18.836714,18.451279,18.209282,18.566366,faint_Galaxy
87,15.27233124,-0.322161645,24.603586,23.1567,22.0929,21.24694,20.623213,20.20455,19.663733,19.783838,18.905819,19.24385,faint_Galaxy
173,27.08684158,-0.359950632,22.610262,22.049685,21.38163,21.032751,20.706001,20.646362,20.512545,19.698029,20.042427,19.676483,faint_Galaxy
194,11.03560334,0.943682949,22.471624,22.096556,21.218264,20.752838,20.494076,20.259697,19.923164,19.532427,19.067795,18.7025,faint_Galaxy
184,25.05327988,-0.349541605,24.999018,22.68797,21.302309,20.342857,19.897802,19.327553,18.94142,18.879074,18.696121,19.119524,faint_Galaxy
168,20.91448021,-0.131725177,23.732954,22.335438,21.422174,20.71326,20.320505,19.789713,19.543915,19.06557,18.820063,18.997583,faint_Galaxy
97,14.79035091,0.411371827,22.490799,22.950148,21.990496,21.165041,20.617945,20.111778,19.811686,19.847885,18.835825,18.7545,faint_Galaxy
94,352.2897339,-0.461269468,22.773382,22.454819,22.033129,21.230297,20.637901,20.742859,20.70181,20.267279,19.343323,19.71025,faint_Galaxy
80,352.6131897,-0.684103251,24.46499,22.877663,22.188723,21.37621,20.558401,19.32334,18.71606,17.730015,16.126673,15.644422,faint_Galaxy
84,16.5437088,-0.13979581,23.758554,22.557362,22.139336,21.47909,21.443422,21.318838,20.588455,20.43146,19.39563,19.118986,faint_Galaxy
51,25.76197243,0.142292827,23.839302,22.875412,22.455206,22.012146,21.555916,20.675783,20.708763,20.338634,19.681015,19.693611,faint_Galaxy
123,19.96557617,0.456055135,25.145351,22.902138,21.81086,21.14809,20.964361,20.464378,20.62187,20.705853,20.46324,20.343327,faint_Galaxy
195,359.7226843,-0.31979181,22.862717,22.207825,21.204502,20.224384,19.847677,19.21483,19.012552,18.611525,18.68127,19.073278,faint_Galaxy
115,14.4383955,0.069105394,23.656965,24.123892,21.855946,20.616138,20.261616,19.628029,19.036642,18.92879,18.606815,18.988188,faint_Galaxy
98,15.03018951,-0.010339525,23.110361,22.805174,21.988169,20.94395,20.419506,20.097137,20.20703,19.450626,19.068073,19.384634,faint_Galaxy
52,27.7905426,-0.268891633,23.34358,22.8916,22.450895,21.744345,20.69454,20.464561,19.747,19.370138,18.454735,17.925999,faint_Galaxy
175,353.4153442,-0.563448012,22.555046,22.109215,21.376143,20.552866,19.878187,19.479395,19.00629,18.660923,17.99624,18.231253,faint_Galaxy
179,27.05053139,-0.343522668,26.138725,22.63827,21.351381,20.445913,20.16946,19.587,19.255436,19.163116,19.10649,19.177092,faint_Galaxy
164,26.87750244,-0.126165405,22.58097,22.150818,21.447224,20.724325,20.211435,20.144007,19.98812,19.738375,19.20374,19.262985,faint_Galaxy
29,25.02151299,0.089595936,23.032871,23.048965,22.71113,22.15812,21.599136,21.058208,20.904533,20.177288,19.348324,19.163885,faint_Galaxy
