designation,RA,December,U_mag,G_mag,R_mag,I_mag,Z_mag,W1mag,W2mag,class,J_mag,H_mag,K_mag
J001503.81-003727.5,3.7658917,-0.6243238,19.237,18.007,17.357,16.93,16.684,14.231,13.498,GALAXY,16.889,16.108,15.57
J001741.75+000752.3,4.4239642,0.1312115,18.202,16.673,16.008,15.606,15.348,12.856,11.567,GALAXY,15.902,,14.561
J002101.02+005248.0,5.2542864,0.880006,17.569,17.368,17.499,16.942,17.468,14.007,12.966,GALAXY,16.826,,15.351
J002944.90+001011.1,7.4371094,0.1697569,18.099,16.746,16.247,15.831,15.671,13.051,11.965,GALAXY,15.787,15.153,14.681
J003650.39+000202.4,9.209969,0.0340172,18.239,17.834,17.65,17.02,17.293,13.659,12.83,GALAXY,16.737,16.081,15.243
J004027.31-010924.7,10.1137928,-1.1568682,21.354,20.867,19.691,19.269,19.028,15.133,13.782,absGAL,,17.214,16.436
J005527.46-002148.5,13.8644265,-0.3634987,18.812,18.417,18.074,17.918,18.254,14.352,12.939,GALAXY,17.119,16.523,15.685
J005528.82+003452.6,13.8701206,0.581295,18.198,16.8,16.061,15.626,15.289,12.635,11.916,GALAXY,15.402,14.569,14.023
J005847.49-010549.7,14.6978762,-1.0971498,18.556,16.823,16.028,15.584,15.263,12.264,11.558,GALAXY,15.13,14.314,13.635
J005904.12+010004.2,14.7671922,1.0011812,17.279,16.308,16.004,15.869,15.709,13.308,12.376,GALAXY,16.131,15.532,15.168
J010103.67-001146.2,15.2653124,-0.1961927,20.736,20.368,19.647,19.996,20.006,16.194,13.665,GALAXY,19.458,,17.797
J010942.19-004417.6,17.4258036,-0.7382265,17.893,16.955,16.514,16.128,15.876,13.216,12.415,GALAXY,16.061,15.326,15.24
J011341.11+010608.6,18.4213045,1.1023996,20.852,19.856,18.543,18.801,18.066,14.174,12.624,GALAXY,17.511,16.737,15.796
J011940.78-002552.5,19.919956,-0.4312741,20.939,20.317,19.627,19.349,18.96,15.703,14.96,absGAL,18.432,17.556,16.769
J012218.05+010025.7,20.5752274,1.0071585,17.517,16.873,16.733,16.232,16.275,12.114,10.572,GALAXY,16.338,,14.901
J013828.63-001908.4,24.619295,-0.3190274,19.105,17.806,17.148,16.706,16.506,13.529,12.816,GALAXY,15.816,15.084,14.425
J014645.91-003724.6,26.6913009,-0.6235043,18.559,17.232,16.465,16.021,15.735,12.901,12.06,GALAXY,15.487,14.779,
J020345.58-010109.4,30.939936,-1.0192935,20.285,18.673,17.715,17.215,16.944,14.035,12.928,GALAXY,16.547,15.727,15.044
J020412.40-005347.4,31.0516844,-0.8965015,20.313,18.645,17.778,17.274,16.966,13.744,12.915,absGAL,16.727,15.853,15.139
J021405.91-001637.1,33.52464,-0.2769759,18.71,17.335,16.696,16.334,16.079,13.576,12.73,GALAXY,15.772,15.14,14.694
J022054.77+001753.2,35.2282337,0.2981211,19.752,18.618,17.791,17.34,17.085,13.944,12.783,GALAXY,16.823,16.0,15.203
J022908.52-003819.5,37.2855168,-0.6387723,20.602,19.117,18.413,18.002,17.709,15.25,13.445,absGAL,17.206,16.537,16.14
J023301.24+002514.8,38.2551822,0.4207904,999.0,23.085,25.201,23.572,999.0,10.717,9.444,GALAXY,13.396,12.66,12.148
J024612.96+000439.3,41.5540347,0.0776097,20.724,19.952,18.797,18.603,18.626,13.619,12.363,GALAXY,17.446,,
J025958.22-003622.1,44.9926248,-0.6061474,20.087,18.933,18.191,17.49,17.33,14.249,13.462,GALAXY,16.737,15.924,15.064
J030117.99-003842.4,45.324973,-0.6451277,19.911,18.63,17.731,17.213,16.891,13.546,12.713,GALAXY,,15.089,14.29
J030349.10-010613.3,45.9545984,-1.1037141,15.409,13.534,12.483,11.981,11.669,9.695,8.388,absGAL,,12.718,11.96
J030435.34-000448.2,46.1472559,-0.0800809,22.394,20.367,19.219,18.707,18.389,15.376,13.349,absGAL,,16.828,16.024
J031752.91-005417.4,49.4704743,-0.9048396,18.003,17.17,16.699,16.265,16.149,13.338,12.51,GALAXY,16.085,15.431,14.797
J032853.34+003104.2,52.2222668,0.5178433,18.821,17.89,17.516,17.042,17.067,14.7,13.428,GALAXY,16.912,16.337,15.749
J205450.55-010831.1,313.7106351,-1.1419924,19.331,18.587,18.121,17.715,17.725,15.005,14.034,GALAXY,17.23,16.462,15.758
J205540.56+003559.7,313.9190254,0.5999347,19.798,18.582,17.841,17.354,17.129,14.152,13.294,GALAXY,16.445,15.66,14.838
J211931.10-003051.4,319.8796013,-0.5142952,20.115,19.268,18.427,18.086,17.617,14.32,13.09,GALAXY,17.169,16.374,15.443
J213242.32+011132.0,323.1763431,1.1922258,20.956,18.887,17.746,17.138,16.679,13.24,12.204,GALAXY,16.208,15.191,14.332
J214009.96+004014.9,325.0415319,0.67082,19.99,19.024,18.557,18.147,18.013,14.524,13.487,GALAXY,17.84,16.945,16.193
J214826.38-010928.9,327.1099301,-1.1580316,20.032,19.22,18.67,18.209,18.1,15.009,14.064,GALAXY,17.725,16.971,16.07
J215834.67+000701.1,329.6444799,0.1169871,19.595,18.523,17.894,17.428,17.18,14.061,13.168,GALAXY,16.716,15.865,15.049
J220051.85+010826.5,330.2160674,1.1407015,19.673,18.474,17.809,17.36,17.141,13.77,12.403,GALAXY,16.17,15.399,14.71
J220955.22+011225.4,332.4800903,1.2070632,16.926,16.149,16.023,15.831,15.759,13.613,12.652,GALAXY,16.386,15.828,15.356
J222407.18+002151.4,336.0299547,0.3642822,20.676,18.313,17.106,16.644,16.29,13.433,12.415,GALAXY,15.916,,14.588
J222538.21-005612.2,336.4092286,-0.9367418,19.685,17.698,16.593,15.999,15.518,12.618,11.138,absGAL,15.913,15.056,14.373
J223039.76+005644.0,337.6656726,0.9455677,19.32,18.16,17.576,17.157,16.926,13.161,12.117,GALAXY,16.191,15.38,14.521
J223447.00-000645.6,338.6958503,-0.1126804,20.329,18.458,17.51,17.095,16.837,14.046,12.793,GALAXY,16.619,15.943,15.404
J224226.69+011142.9,340.6112011,1.1952561,17.279,15.855,15.268,14.751,14.361,11.244,10.308,GALAXY,15.145,13.976,12.9
J224227.59-004311.4,340.6149758,-0.7198443,18.641,17.108,16.29,15.842,15.573,12.418,11.633,GALAXY,15.097,14.372,13.657
J224620.97-001744.3,341.5873988,-0.2956395,20.746,18.843,17.867,17.269,16.905,13.497,12.604,GALAXY,16.413,15.566,14.766
J225332.95-002442.8,343.3872957,-0.4119058,17.705,16.409,15.709,15.154,14.876,11.748,10.506,GALAXY,14.871,14.079,13.27
J225906.70-005810.3,344.7779433,-0.9695301,18.621,17.669,17.673,17.198,17.436,15.617,14.514,GALAXY,,18.144,17.714
J230231.14+000147.7,345.6297616,0.0299271,19.598,18.353,17.626,17.081,16.895,14.099,13.099,GALAXY,16.4,15.744,15.114
J230341.23+010236.9,345.9218028,1.0435878,17.013,15.283,14.599,14.212,13.904,11.465,10.429,absGAL,,13.104,12.396
J230703.75+011311.2,346.7656373,1.2197925,18.626,18.292,18.113,17.73,18.053,15.114,14.08,GALAXY,17.268,16.865,16.142
J231223.73-000513.1,348.0988862,-0.0869739,20.649,18.688,17.815,17.317,17.018,14.086,13.049,absGAL,16.179,,14.849
J231846.58+005126.2,349.6940981,0.8572836,19.367,18.042,17.399,16.938,16.706,14.05,12.997,absGAL,16.849,,15.19
J233232.31+002821.1,353.1346599,0.4725285,19.626,18.394,17.924,17.501,17.388,14.761,13.781,GALAXY,16.835,16.194,15.677
J233245.03-005845.8,353.1876297,-0.9794137,17.152,16.368,15.976,15.816,15.658,13.758,12.501,GALAXY,,,
J233622.81-002651.3,354.0950765,-0.4475869,19.956,18.634,17.87,17.381,17.049,14.341,13.608,absGAL,16.481,15.736,15.178
J233917.75-001458.7,354.8239824,-0.2496452,19.381,17.512,16.626,16.188,15.864,13.076,11.935,absGAL,15.68,14.88,14.217
J235030.70-005844.6,357.6279486,-0.9790639,19.587,18.6,17.893,17.579,17.347,14.32,13.216,GALAXY,17.685,16.953,16.19
J235352.50-000555.4,358.4687765,-0.0987473,18.789,17.122,16.413,16.064,15.798,13.601,11.775,absGAL,15.993,,
