objid,ra,dec,u,g,r,i,z
1.237651758285E+018,270.005882333622,-0.000818074914787,25.60542,24.1212,22.22099,22.34972,22.04029
1.237651758285E+018,270.007492633946,0.014115270133612,26.01741,25.93289,22.56548,21.72119,21.24796
1.237651758285E+018,270.006872964315,0.01715633320826,24.82451,23.73289,23.27589,21.51552,22.01536
1.237651758285E+018,269.985167850907,0.012230698314259,22.68433,23.00032,21.40571,20.94544,21.33864
1.237651758285E+018,270.007602126903,0.017750252121918,24.82183,24.35702,23.85584,21.98751,21.45444
1.237651758285E+018,270.001582094141,0.020217603461234,23.96828,25.53365,21.96532,22.49179,22.41091
1.237651758285E+018,269.992442507827,0.0191068905691,23.66707,25.02171,24.56598,20.57281,19.94039
1.237651758285E+018,269.979295874182,-0.001210253383716,26.67751,23.37393,21.99269,21.09417,20.50471
1.23765175828493E+018,269.972112805985,0.00969277503088,24.73195,25.06283,23.07676,21.97492,20.81664
1.237651758285E+018,269.976683383454,0.018361193418046,23.98331,25.1169,23.72324,22.12137,21.91501
1.237651758285E+018,269.981974986715,0.030198139594241,25.27719,24.18665,23.69541,22.28431,22.42038
1.237651758285E+018,269.981218701199,0.031106043771495,25.34074,22.93536,21.20591,19.99273,19.4247
1.237651758285E+018,270.028096341328,0.025289336369259,24.90252,24.49743,22.75789,21.4618,21.32415
1.23765175828493E+018,269.975487476619,0.030965928607502,25.05465,25.74262,22.91315,21.40054,21.01449
1.237651758285E+018,269.978367819335,0.034919043628855,23.95363,25.21201,24.21107,21.76228,21.1308
1.23765175828494E+018,269.958689336171,0.006955526220352,26.24673,23.93604,22.37172,21.36821,20.95027
1.23765175828494E+018,269.964234684221,0.022195677329576,23.0168,25.32758,25.45286,21.92253,21.81292
1.23765175828494E+018,269.960146951722,0.014243855551228,23.94212,23.38332,22.31933,21.56426,21.84934
1.237651758285E+018,269.980704320254,0.038525522400863,23.82541,25.4831,24.20669,22.16427,22.28505
1.23765175828493E+018,269.970912809988,0.032048822444075,25.38143,22.56099,21.22408,20.58597,20.29138
1.23765175828494E+018,269.958691383782,0.017328263012774,24.26975,24.47742,25.09954,21.98006,20.77874
1.23765175828493E+018,269.971835734537,0.035234058406083,24.75087,24.69155,22.83663,21.88926,21.5704
1.23765175828494E+018,269.958692859588,0.019186571522004,24.56072,25.0045,22.78463,21.6711,22.27136
1.23765175828493E+018,269.952685561354,-0.000295076976375,23.88061,23.01164,22.65682,21.23269,20.7627
1.23765175828494E+018,269.95589890913,0.017600342818944,22.29315,22.68016,21.22017,20.7498,20.5005
1.237651758285E+018,270.042562965568,0.031240146347155,24.12216,22.99902,21.19032,20.60185,20.1586
1.237651758285E+018,270.050343233147,0.016748486810008,24.44628,23.63876,22.94037,21.84914,22.45513
1.23765175828494E+018,269.9487427677,0.017248496306256,22.8223,24.23726,23.30551,22.08691,21.42738
1.237651758285E+018,269.993953989794,0.054778248435444,23.19995,22.8828,22.06059,21.43346,21.62567
1.237651758285E+018,270.055610498271,0.004699202886439,23.14378,23.01291,21.65922,20.61346,19.99831
1.23765175828494E+018,269.946355479234,0.020036671669173,25.08045,24.50785,25.32748,21.98653,23.71655
1.237651758285E+018,270.053419090368,0.020853595392532,25.63284,24.28742,22.73664,21.14395,20.5387
1.237651758285E+018,269.983307672751,0.055754164682306,24.46618,22.50976,21.12288,20.46573,20.30235
1.237651758285E+018,269.978237050636,0.055489535184115,25.499,25.39375,22.52463,21.76376,21.649
1.237651758285E+018,269.99462288314,0.059998002856765,24.38159,25.70168,22.88262,22.53789,23.05085
1.237651758285E+018,270.043850490998,0.042001876584737,23.27522,24.04844,22.69625,21.1655,20.67345
