RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,SPEC_Z,SPEC_CLASS
17.81719398,-0.108754173,23.477404,24.389923,23.433123,22.248348,21.29799,21.508804,,,20.01697,20.146538,0.8282186,GALAXY
334.1451111,0.571864069,,25.18362,23.364925,22.112076,21.381224,20.916586,20.512928,20.116713,19.19978,19.412975,0.8436,GALAXY
334.3557434,0.180938736,,24.991146,23.363205,22.227055,,,20.451544,20.439772,20.19725,20.318249,0.6302,GALAXY
17.80607605,-0.3783755,23.8725,23.97,23.3414,22.8065,22.6636,,,,20.449196,20.356632,0.7018766,GALAXY
334.2421875,0.367309988,,24.40625,23.327003,22.125675,21.124067,20.228516,19.635046,19.504807,18.941141,18.61711,0.9266,GALAXY
21.36492157,0.169658691,23.5348,23.7129,23.3127,22.7325,21.8202,,,,21.777157,22.645037,0.947496,GALAXY
356.0736004,0.381756845,22.830095,23.382221,23.311577,21.87644,20.27676,,,20.606678,,,0.865,GALAXY
26.72477913,-0.438939422,24.079466,23.292236,23.24628,22.349945,21.589418,21.213099,20.791817,21.628582,20.053322,20.06195,0.86704165,GALAXY
14.54557705,0.301338196,23.6657,23.0453,23.1851,22.3952,22.0319,,,,20.900785,21.13784,0.911518,GALAXY
25.70000839,0.40207392,,,23.169954,21.892464,21.238626,19.866852,19.604292,18.984325,18.558842,18.708477,9,GALAXY
15.65174866,0.224017933,,24.055,23.1678,22.2044,21.6446,,,,20.532387,20.36253,1.004,GALAXY
23.54248047,0.177023649,,24.211647,23.14889,22.541262,22.013062,21.24427,,21.211075,19.842339,19.750935,0.996383,GALAXY
26.3320694,0.240344018,24.253757,24.045408,23.102417,22.112911,21.404793,20.857391,20.5273,19.649817,19.22539,19.248072,0.970816,GALAXY
353.1593628,0.034929,23.6603,23.598,23.101,22.6461,22.0214,,,,20.636898,20.518272,1.397509,GALAXY
16.22970581,-0.441143364,23.64579,24.142212,23.090075,21.953102,21.153017,20.537573,20.10877,20.119324,19.18029,19.352509,0.9388694,GALAXY
352.5235596,-0.836282849,23.5466,23.2347,22.9308,22.0412,21.5062,,,,20.212866,20.350399,0.8412502,GALAXY
19.06111145,0.217361987,23.821129,23.88236,22.92781,21.563538,20.958193,20.41258,20.344961,19.74326,18.82228,18.673872,0.895596,GALAXY
27.09180641,-0.008604267,23.996384,23.252863,22.891592,22.29497,21.271708,20.419685,20.266092,20.221867,19.794962,19.803892,9,GALAXY
353.1288452,-0.050538637,24.616877,24.324942,22.8685,21.873009,21.619228,,,20.590094,19.738384,20.282974,0.73928523,GALAXY
26.67027283,0.152390108,24.347021,23.676575,22.867924,21.888535,20.854279,20.762732,20.471935,20.032545,19.425907,19.796455,0.9426977,GALAXY
23.23820114,-0.512298465,25.507,24.084,22.8535,21.978,21.4275,,,,20.689646,20.864716,0.490221,GALAXY
25.50169754,0.146348685,26.71866,23.992725,22.827677,21.896238,21.206293,20.50615,20.339966,19.83724,19.223017,19.555733,0.96693,GALAXY
19.65262222,-0.240586936,23.7976,23.4378,22.7985,22.5026,22.295,,,,20.000116,19.83545,0.913715,GALAXY
18.82157516,-0.166915953,23.751284,24.08889,22.754696,21.633028,20.586557,20.299255,19.737093,19.253374,18.08319,17.51793,0.732235,GALAXY
352.9515381,0.314680487,23.6513,23.4978,22.7388,22.1294,21.9992,,,,20.074766,19.665293,0.5101226,GALAXY
334.2521973,0.356576353,23.0251,23.4113,22.7316,22.3297,22.7507,,,,,,0.6328,GALAXY
353.2785034,-0.048678908,23.745,23.3478,22.7313,22.1548,21.3404,,,,19.968885,20.05056,0.87320644,GALAXY
26.57918739,-0.327667385,,23.374863,22.728289,21.718578,20.837927,20.134062,19.650824,19.246948,18.756968,18.898226,0.95934993,GALAXY
27.69191933,0.216014802,24.1373,23.4168,22.7158,22.454,22.5732,,,,,,0.376782,GALAXY
25.02151299,0.089595936,23.032871,23.048965,22.71113,22.15812,21.599136,21.058208,20.904533,20.177288,19.348324,19.163885,1.07,GALAXY
16.92018509,-0.319681406,24.19818,23.360132,22.676058,21.828777,21.535881,21.131046,,,19.918312,20.260695,0.73728013,GALAXY
19.29478645,0.475810945,,24.390364,22.673834,21.838896,21.050133,,,19.4964,19.67329,19.611116,0.7367581,GALAXY
20.37046432,-0.230462253,23.113955,23.060886,22.668812,22.003075,21.46104,21.601397,,,20.445816,20.840178,0.7807829,GALAXY
26.31300163,-0.102866024,28.536663,24.199265,22.665369,21.337431,20.624115,20.225813,19.75897,19.212687,18.98399,19.303768,0.8230696,GALAXY
21.58712769,0.189430237,23.517653,23.587305,22.663984,21.732374,21.241209,21.114887,20.513853,20.037561,19.733725,19.748259,0.78741807,GALAXY
17.28671455,-0.216109827,,24.669569,22.627127,21.485619,20.579931,19.869171,19.72889,19.294668,19.156462,19.44273,0.8145129,GALAXY
334.4446106,0.225532919,23.62615,23.34949,22.613945,22.02545,21.793215,,20.349682,20.059988,19.624735,19.81908,0.8833,GALAXY
334.3744507,0.146417513,24.529873,24.08541,22.612986,21.433617,20.938202,20.433353,19.975916,19.525381,19.241505,19.738255,0.7143,GALAXY
15.43338776,-0.309553176,,23.988039,22.603174,21.125465,20.601135,19.961916,19.742714,19.389296,18.893871,18.762566,0.80688816,GALAXY
27.7948761,-0.127515584,23.9361,23.0505,22.5991,22.2184,22.0944,,,,21.106558,21.04349,0.1640569,GALAXY
24.60290146,-0.412747294,24.12126,23.506777,22.598925,21.517147,20.713877,20.236912,19.593494,19.919586,19.160671,19.288021,0.892986,GALAXY
23.52572441,-0.012623723,,23.736626,22.58472,21.502245,20.855364,19.828033,19.708633,19.18342,18.49641,18.628326,0.909133,GALAXY
26.38200188,-0.04659206,22.87333,22.956835,22.572792,21.804523,21.28924,20.757599,20.779415,20.407198,18.289024,17.905031,1.03348,GALAXY
26.61343002,0.188254863,23.411272,23.13183,22.55177,21.991957,21.151983,,,20.189224,19.674067,19.843933,0.9648198,GALAXY
14.41515064,0.199619666,23.5666,23.1869,22.5334,22.3818,22.3203,,,,21.096931,21.341942,0.487994,GALAXY
