counter,RA,DEC,G_MAG_AB,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class
182,23:18:03.03,+00:09:49.3,23.6101,22.0933,20.478785,19.780508,19.528711,18.803232,17.174395,16.914455,3.8295915,2.3127916,0.9772757,3.2900672,4.675730300903321,5.399697635650635,-999.0,-999.0,-999.0,0,none
74,01:58:21.09,+00:27:52.7,22.806,21.9611,19.966055,19.82468,19.153103,18.769571,17.981083,17.459742,2.9813192,2.136419,1.0551089,3.1915278,4.469256099700928,4.5163005867004395,1.43,1.35,1.352,NIRES091818,QSO
9,00:04:11.62,+00:13:14.3,23.269,21.3521,19.879957,19.562054,19.061491,18.58928,18.880589,18.582056,3.7069452,1.7900465,0.9727744,2.7628207,5.1634283409118655,4.658480529785156,-999.0,-999.0,-999.0,0,none
216,23:43:27.59,-00:33:48.1,23.1697,21.6726,20.06199,20.018776,19.466085,18.889189,18.226269,18.054785,3.1509244,1.6538236,1.129587,2.7834105,4.317666881561279,4.048205108642578,-999.0,-999.0,-999.0,0,none
130,22:25:12.61,+00:37:34.7,22.9488,21.8369,20.605837,20.033295,19.3979,17.102247,19.06589,19.020247,2.9155042,1.8036058,2.9310484,4.734654,9.143940673828125,6.046041000366211,-999.0,-999.0,-999.0,0,none
71,01:57:25.40,-00:51:14.6,22.4808,21.2006,19.952055,19.570675,19.041164,18.556599,17.626598,17.351961,2.9101255,1.6299245,1.0140761,2.6440005,4.39398454284668,4.146215274810791,-999.0,-999.0,0.583,Gemini18B,QSO
16,00:15:52.05,-00:59:15.6,23.1471,21.6604,20.154078,19.971056,19.268772,18.851816,18.694536,18.780142,3.1760442,1.6893442,1.1192397,2.8085837,4.850057750701905,3.8054020042419436,-999.0,-999.0,-999.0,0,none
205,23:36:21.76,+00:52:25.2,22.497,21.4211,20.189142,19.430565,18.993237,18.190762,17.257559,16.97206,3.0664346,1.9905355,1.2398032,3.2303386,4.91356799697876,5.650602951049805,-999.0,-999.0,-999.0,0,none
126,22:24:09.44,-00:15:23.9,23.5393,22.9742,20.697332,19.717018,18.881552,17.971811,17.905102,17.479963,3.8222826,3.257181,1.7452067,5.0023875,3.7165393981933597,3.4708608283996583,-999.0,-999.0,2.22,Gemini,QSO
64,01:53:37.11,-00:38:13.0,22.9359,21.9708,19.698969,19.662199,18.90244,18.596663,19.040916,19.135971,3.2737005,2.3086011,1.0655364,3.3741374,6.12366459274292,6.299298728942872,-999.0,-999.0,-999.0,Gemini18B,none
11,00:12:15.00,+00:48:25.7,23.9467,22.395,20.113674,19.478487,19.022444,18.68961,17.535511,17.013062,4.4682117,2.9165132,0.78887737,3.7053905,4.105442882537842,3.4036914825439455,-999.0,-999.0,-999.0,0,none
