ra,dec,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,zsp,spCl
9.2492719,-1.2257127,22.615,0.256,21.288,0.047,20.191,0.025,19.659,0.023,18.47,0.029,16.569,0.102,15.105,0.064,13.63,0.041,11.673,0.023,10.507,0.02,7.881,0.022,5.212,0.038,0.2936,redQSO
10.8810307,-0.2575866,22.388,0.302,20.203,0.026,18.743,0.012,18.187,0.011,17.72,0.024,16.858,0.135,15.667,0.115,14.421,0.081,13.27,0.025,12.34,0.024,9.74,0.053,7.387,0.141,0.294,redQSO
10.9218858,0.8814744,21.991,0.154,20.505,0.022,19.451,0.014,18.671,0.011,17.955,0.018,16.229,0.086,15.481,0.13,14.424,0.056,12.593,0.025,11.272,0.022,8.525,0.029,6.495,0.072,0.82848,redQSO
21.7605385,1.236781,20.344,0.047,19.006,0.01,17.985,0.007,17.494,0.007,17.26,0.012,15.819,0.071,15.262,0.085,14.517,0.086,13.999,0.027,12.992,0.027,9.898,0.051,6.585,0.054,1.14257,redQSO
50.6971853,0.0572607,18.83,0.02,18.115,0.006,17.843,0.007,17.559,0.007,17.601,0.017,16.306,0.103,15.641,0.119,14.647,0.089,12.672,0.024,11.505,0.021,8.821,0.027,6.532,0.066,0.60266,redQSO
53.2020724,-0.1701121,20.872,0.112,19.969,0.024,18.517,0.011,17.984,0.01,17.387,0.02,16.581,0.109,15.784,0.114,14.698,0.112,13.761,0.026,13.006,0.027,10.587,0.109,7.962,0.198,0.30947,redQSO
123.302282,5.7024141,21.737,0.418,19.751,0.033,18.206,0.014,17.637,0.013,17.067,0.031,16.008,,15.349,0.111,14.469,0.098,13.154,0.024,12.258,0.025,9.278,0.042,5.972,0.053,0.295,redQSO
130.2928895,6.0344213,21.297,0.17,19.473,0.016,18.387,0.012,17.805,0.011,17.361,0.029,16.135,0.142,15.344,0.116,14.216,0.075,12.917,0.023,11.981,0.023,9.192,0.034,6.835,0.081,0.17,redQSO
131.2198568,13.7217571,20.219,0.052,19.041,0.01,18.056,0.007,17.566,0.007,17.444,0.017,15.984,0.075,15.202,0.1,14.063,0.046,12.273,0.023,11.292,0.022,8.89,0.031,6.296,0.06,0.193,redQSO
141.3903182,2.2284905,23.025,0.85,19.767,0.025,18.091,0.01,17.244,0.008,16.987,0.023,16.338,0.146,14.988,0.104,13.812,0.063,12.283,0.023,11.378,0.021,9.298,0.037,6.86,0.088,0.22801,redQSO
142.7531842,1.8053273,21.047,0.14,19.36,0.018,18.159,0.01,17.554,0.01,17.204,0.025,16.287,0.121,15.712,0.145,14.574,0.106,13.69,0.026,12.817,0.026,9.756,0.048,7.497,0.146,0.22,redQSO
