u,g,r,i,z,ra,dec,flags_r
26.191811,25.749163,25.629023,21.826756,24.583817,267.80101898,-1.06213235,9007199398269205
23.412788,23.380491,22.043192,21.728836,22.695658,267.8544462,-1.16610878,4503874773712896
19.784519,25.188145,27.801794,27.165871,17.835966,268.3032716,-1.05176706,13511074171486516
25.556055,24.599611,24.029739,22.861008,20.677439,268.30668315,-1.05924582,2319354083385180476
24.546055,23.180105,21.473528,20.746626,21.012259,268.39201058,-1.20113792,4503874807267344
25.035419,24.975294,21.078541,20.274824,19.457487,268.40575209,-1.20597499,4503599895839248
24.633795,24.642427,24.653048,19.771067,18.849619,268.35619301,-1.15029953,15762599107002672
24.031887,24.041935,21.421148,19.999096,19.249628,268.37892763,-1.16581923,6755674587398160
23.238462,22.398632,21.532478,20.774502,20.770351,268.41505087,-1.22979931,4503874773745664
25.26959,24.26936,22.149746,21.509644,21.913958,268.40513109,-1.21565694,2321605883064221712
24.602262,23.040892,22.181969,20.811596,20.184473,268.33687889,-1.10446993,9007199397380353
25.143354,23.550064,22.952297,21.854481,21.421879,268.74767345,-1.07942319,4573968681926929
26.320837,22.701538,21.150362,19.860786,18.797356,268.76736795,-1.10998425,6755674587398160
24.678959,23.204281,21.730625,20.593592,19.910276,268.82495688,-1.15991274,4573968673538065
23.872553,24.511734,22.114225,20.054337,18.91465,268.85461399,-1.19586869,4503874773712912
22.342081,23.219252,22.637491,21.362476,20.04574,268.90299829,-1.24660807,142606593
25.459545,24.237944,21.844332,20.926371,20.432611,269.21109782,-1.05303257,2312598683801092112
25.479767,25.021503,24.260281,23.363483,20.705215,269.26896664,-1.09125213,2319424177108418577
23.343273,23.877544,23.823513,21.192303,22.633482,269.36149624,-1.15156183,2305843009356435729
22.441422,24.315271,21.960308,20.786942,20.053694,269.24053042,-1.08137936,6755674587398160
24.113243,23.581459,21.189692,20.282663,19.971615,269.5120101,-1.22696832,2312598683801092112
25.968985,23.260626,21.179262,20.566706,19.948565,269.48398083,-1.20836172,2312598683801092112
24.797911,24.190538,21.833914,21.151575,20.877037,269.48031601,-1.20753975,4503874807300112
23.718777,25.854427,24.137642,21.440958,21.283392,269.48754945,-1.21286886,11258999211032849
22.540642,22.736336,21.137323,20.407026,19.906469,269.43527073,-1.19410551,4503874773712896
24.925837,25.52706,23.302876,21.096422,20.305731,269.40089457,-1.17828704,9007199388983297
25.86821,24.320557,23.643707,21.35424,21.195885,269.41215678,-1.17459839,9007199456067657
24.53414,24.404875,21.429476,21.145216,19.320328,269.54536553,-1.23360811,4503599895839248
23.479683,25.112772,24.803072,24.363691,20.616518,269.87369713,-1.0727081,13511074171093296
24.531435,26.314964,21.809597,21.004759,20.834295,269.89459503,-1.07602248,2312598683801092112
26.535328,23.830126,21.61603,21.941975,21.295074,269.83294563,-1.0656666,4503874782101760
26.459394,24.229761,22.87561,21.782402,20.219486,269.92982576,-1.07872207,9007199388958721
17.548311,31.030115,29.521313,29.322226,27.40218,270.10637495,-1.0717117,13510799293710644
24.208836,22.316364,21.150372,20.582911,20.49976,270.04964983,-1.07390379,4503874807300112
25.889015,22.2672,21.418585,21.77342,21.924654,270.44361366,-1.24039761,2312598683801124880
23.625935,22.731571,26.045649,25.658152,23.095341,270.46146533,-1.23435701,9007199397347601
24.229189,26.072199,21.966339,19.516138,18.901777,270.51243627,-1.20923561,2305843009356333585
24.052273,24.339602,21.723677,20.689945,21.100113,270.6099844,-1.17244519,4503874807267344
23.362093,26.615782,23.311489,21.515211,23.399252,270.60727797,-1.17151882,9007199288479761
24.075106,23.945221,25.279245,21.681768,21.399275,270.66000526,-1.13784471,11260098722824465
22.41251,22.574059,21.708229,21.1136,21.103598,270.6229638,-1.15690309,6755674620952592
23.56036,22.422039,21.139082,20.544979,20.182499,270.63168706,-1.15630738,4503874773712896
25.721033,23.081812,21.145414,20.074627,19.217478,271.07806337,-1.25206145,4503874907963920
25.930908,22.408701,21.031319,20.542257,19.872675,271.082195,-1.24995544,6755674620952592
25.238823,23.256777,21.685175,20.417599,19.739861,271.2085295,-1.13769551,4503874807267352
26.448435,26.584148,21.816738,21.556755,20.47057,271.18490455,-1.16217526,4503874907930624
24.874598,26.084801,21.430761,20.854788,20.714024,271.23550347,-1.10978006,2312598683801092112
24.084532,24.692244,24.254683,21.770475,21.949654,271.6475943,-1.13827458,2319424177108550929
22.834002,23.873972,21.373245,20.017792,19.299559,271.62362395,-1.17204384,2312598683801092120
24.027306,24.460657,24.523493,25.388193,23.472002,271.66784628,-1.10899267,13581168070885649
25.791836,23.958914,21.607174,20.901546,20.371094,271.64660579,-1.14054883,2310346609109499920
23.53138,22.969486,21.126276,20.207115,20.040356,271.65799754,-1.11632395,4503874773713408
24.891592,23.38772,21.300873,20.152527,19.264982,272.10731654,-1.23168222,2310346883987440912
21.556967,26.267069,25.87048,24.365974,23.488701,272.1230003,-1.20481489,9008298909110545
22.384693,25.018738,21.601233,20.617958,19.64579,272.19350507,-1.06932667,6755674588446744
24.792938,24.383499,22.449064,21.924511,21.684362,267.69815354,-0.81456575,4503874807267344
24.899921,25.110449,22.984552,24.364172,22.980896,267.64298965,-0.63575343,4503599895805968
24.939766,23.825733,21.838243,20.54686,19.803171,267.65779324,-0.68449913,4574243551445009
25.365244,24.414976,22.29071,21.981926,21.688068,267.68360262,-0.76911583,4503874773712896
23.104605,23.749226,21.930418,21.36256,20.581549,267.69520475,-0.80631486,6755674620952592
23.769341,24.000166,21.924551,20.573614,19.958878,268.11105024,-0.64427571,2310346883987406864
25.350576,24.370638,21.733479,20.982172,21.089258,268.10187078,-0.64872176,2312598683801092112
24.283194,23.234566,22.139215,22.805737,21.599049,268.15804357,-0.78641873,4503874807267344
24.523401,25.072254,24.802023,22.005365,22.168921,268.16170764,-0.7901489,9007199397777681
25.080561,23.097059,22.726658,22.218779,23.088472,268.15892318,-0.78869425,4503874807267352
25.477316,24.233229,23.157759,22.212189,22.310211,268.15543863,-0.77578068,167936017
24.846008,24.476379,22.63986,21.658106,21.014393,268.13523552,-0.73546681,4732298348068889
24.314651,23.366079,21.774769,20.978146,20.55216,268.15443245,-0.76745302,6755674587398160
23.023304,24.127394,22.07646,21.648504,21.782139,268.16966163,-0.82330107,51791670894788624
24.088587,24.27634,22.590988,21.310377,21.285141,268.13487421,-0.71295006,4573968673538065
25.355011,22.774275,21.665245,20.991606,20.196205,268.16348443,-0.78562149,6755674620952600
25.400469,22.405741,22.100101,22.031139,21.796507,268.1668624,-0.7891209,2310346884121624592
25.594995,22.294107,21.296993,20.589697,19.887209,268.16753994,-0.79845316,4503874773712912
24.204721,22.60787,21.703522,21.444616,20.511248,268.16766643,-0.80488654,2312598683801092112
24.881529,23.030437,21.806345,21.284861,21.336029,268.113784,-0.653263,4503874773712912
25.26967,25.324886,22.345016,22.368713,21.679585,268.1283011,-0.70466747,4503874773712896
24.637047,23.203592,21.748213,21.144928,20.797995,268.12949576,-0.69805672,4503874782101760
25.151873,23.439037,21.958355,21.352186,20.6432,268.17168585,-0.8030423,4503874773712920
23.743889,22.953341,21.538044,20.821352,20.339655,268.17738305,-0.82370437,4662204448243712
25.921864,24.602419,22.442574,20.865431,19.961891,268.14009782,-0.73417109,1
24.638121,23.361441,22.898422,21.675055,20.797798,268.16076685,-0.79529495,8388865
25.841875,23.696899,23.634336,21.95763,21.99774,268.16501788,-0.7988416,9008298766503937
24.833096,24.710686,22.338503,21.622404,22.671923,268.18725864,-0.8383575,4503874807267344
23.812738,23.396521,22.554016,22.159712,21.776386,268.46642351,-0.62963159,4503874815656464
23.829817,25.592924,23.142471,21.920931,21.957165,268.47633004,-0.64723837,9008298800087057
21.352604,25.38324,25.231108,22.880325,23.829111,268.47169431,-0.63689911,9007199388960001
26.145613,24.525755,22.564962,20.642235,21.100599,268.4679273,-0.63664336,9007199389007873
25.179514,24.318331,22.472363,22.496908,22.212538,268.49818843,-0.68859159,4503874807267344
26.111647,27.081844,26.941687,25.6064,18.21629,268.5185148,-0.7469068,13510799293186352
24.634487,23.97599,21.259489,19.920509,19.293093,268.52132786,-0.74495369,4503874773712912
24.770908,25.405064,22.557274,20.847223,20.042587,268.52149339,-0.7506968,4503874807267344
25.156675,25.226965,22.607349,21.284332,20.966085,268.52080608,-0.75065356,4503874807267344
24.0021,24.043449,22.449083,21.834499,21.964415,268.52435996,-0.75548508,4503874807267344
25.198053,23.45397,21.734728,20.547203,19.625994,268.48821003,-0.66906482,4503599929360400
25.064741,23.216599,21.448029,20.450397,19.867935,268.50134879,-0.71489946,4575068185296913
23.550652,25.275007,22.219173,21.468952,21.117655,268.50256642,-0.71498091,6755674621083664
24.854153,23.263126,22.002831,21.800875,21.543852,268.51888723,-0.73253168,2310346883987406864
25.240856,22.678425,21.296503,20.735201,20.394676,268.03094964,-1.15841302,6914004295483416
24.922848,23.289013,22.001793,21.263334,21.196327,268.40389796,-1.11618975,4503874807267344
24.63456,25.114725,24.802013,19.016672,22.826797,268.42263633,-1.13622333,13510799326871856
24.340942,25.407616,22.754719,20.74781,21.964388,268.42517658,-1.13393,4573968673570833
23.849281,25.114183,24.80208,24.362389,21.313198,268.42615591,-1.1429294,2314850208611471641
25.451824,24.520935,23.375725,21.448843,20.486755,268.40680475,-1.12253766,2305843009222082833
23.589598,22.148952,21.444035,20.397936,20.661102,268.48556598,-1.22393153,4503599904227356
21.290369,26.123634,25.606335,26.226337,19.458717,268.50459919,-1.25066109,9007199431332113
19.716761,29.276913,28.514313,27.833189,16.158842,268.50821299,-1.25372183,13510799293583664
24.598434,23.32029,21.935959,21.413149,21.198389,268.5089162,-1.24329494,4503874975072328
24.173065,22.870232,24.237263,24.431429,23.248793,268.92872421,-1.12192078,9007199296717077
23.176331,25.822245,25.179461,22.200657,22.364042,268.98901218,-1.17807352,9007199397380369
23.711351,25.119226,24.804964,23.836147,22.840881,268.95449006,-1.15639114,9007199397511440
24.083584,24.204191,23.405539,21.430239,20.867413,268.95944614,-1.15493428,9147936785170705
24.31786,24.491062,21.53574,20.413906,20.303455,268.9957225,-1.19025599,2312598683801092120
24.626213,23.37163,21.01634,19.748613,19.067232,268.94586969,-1.14573723,6825768453668881
24.994316,23.764196,21.66783,21.026489,21.009346,268.97717478,-1.17608322,2310346883987406872
23.543903,24.798962,21.519793,20.650152,20.513597,269.44819078,-1.08403058,2312598683801092120
24.033478,22.232008,21.177807,20.579313,20.351933,269.52294631,-1.11821938,2310346883987406864
24.736919,25.463404,23.805128,21.52322,22.490389,269.53292311,-1.12034163,2310416977862066449
21.445583,26.182043,25.006701,25.41099,23.26507,269.55976593,-1.13588617,9007199431069969
26.994083,24.425516,24.266745,21.348959,21.231373,269.596662,-1.14372153,9007199430902033
26.262035,26.549856,22.644508,23.813784,22.995125,269.61674053,-1.15024628,2312598408931705104
22.521034,23.662544,21.833223,20.726437,20.475561,269.65049351,-1.16083689,4503874773712896
24.19305,24.017256,23.06945,21.211206,22.398617,269.7993434,-1.19883402,9008298766499857
24.127777,24.167231,22.188744,21.307365,21.853704,269.70022802,-1.18172444,2312598683801092112
24.400612,25.817284,21.546556,20.792114,20.579222,269.70790547,-1.18204889,2312598683801092112
24.421164,24.342438,21.679302,20.901581,20.534386,269.73816659,-1.18781555,2312598683801092112
25.49292,23.300554,21.276659,19.937939,19.380825,269.81279098,-1.19699432,2312668777667493905
25.586874,24.6786,22.509657,21.779165,20.490639,269.82865086,-1.20693067,2382474571891605525
21.71125,22.412754,22.913046,22.285591,21.939306,269.82780642,-1.20471813,9147936885838109
21.80135,26.262615,23.247375,23.720167,22.104753,269.85441938,-1.20355634,9007199397482769
23.637806,22.536062,21.114069,20.18676,20.087141,269.87221369,-1.20576988,6755674620985360
24.913267,24.101599,21.94371,21.069469,22.427145,269.89442263,-1.21477843,2310346883987439632
24.122688,24.900843,22.110451,23.317545,22.37063,269.89821159,-1.21306967,2310346883995828496
22.974285,25.228983,23.565378,21.335932,22.226477,269.92166158,-1.2138085,2305843009347911697
23.986444,22.201349,21.282419,20.922394,20.519238,270.11262396,-1.21020704,76561193967288336
23.975451,24.198906,21.123095,20.527918,19.941956,270.49769893,-1.11199179,2312598683801092112
24.726828,23.128965,21.262241,20.726984,20.248339,270.45627696,-1.12479273,6755674620952592
23.28701,22.463451,21.647764,20.747181,20.018948,270.46973628,-1.12435418,2357634680074797080
25.117178,22.847717,21.788288,21.056984,21.004723,270.49782586,-1.10674874,4503874773712896
23.696457,24.389423,22.656891,21.482925,22.56052,270.91885426,-1.25667302,2310346883987406872
24.374863,25.486948,22.476006,22.126343,22.715168,271.05980484,-1.13170346,6755674629341456
26.203953,26.043325,21.597248,20.941971,23.274157,271.48320582,-1.25489008,2310346609109665048
25.116573,24.516207,21.643646,20.769403,20.685837,271.49655078,-1.2483117,2310505213661937680
23.077843,22.845985,25.070086,24.336445,23.454977,271.5358196,-1.18438175,11258999244620049
24.742575,26.521843,22.930088,20.753309,20.425997,271.52703647,-1.21076307,142606337
25.875193,26.192972,22.400095,21.166971,20.343391,271.52685372,-1.19502921,8388865
25.775469,26.810017,24.954954,24.15271,20.568615,271.62601681,-1.05873183,2317103107937046805
24.513792,23.191936,21.372087,20.259243,19.791185,271.62867093,-1.06074308,4503874807300112
25.944706,23.559721,21.919964,20.903704,20.613869,271.62527866,-1.06241409,4503874807267352
23.204584,24.109171,23.872406,21.534613,21.21822,271.62795133,-1.06581992,9008298909106449
24.41061,22.719683,21.461515,20.385086,20.107695,271.64005236,-1.05108122,2310346883987406864
22.904243,24.311203,22.64493,21.475571,22.423721,271.93480172,-1.21174984,2310346609109499928
24.329947,25.432014,21.036325,20.008186,19.425888,271.97826383,-1.14705325,6755399743045648
24.906897,23.066496,21.041828,19.889746,19.283472,271.98519103,-1.14113036,2310346883987406864
25.267286,25.775932,22.005283,20.973047,21.111813,271.92386701,-1.23609194,2312598683935309840
24.205351,22.993654,21.817631,20.662367,20.099651,271.95397182,-1.19134782,2310346883987439640
22.979321,22.179949,24.126247,25.561304,22.181421,271.95780416,-1.18747726,9007199263265041
24.790945,22.647606,22.104019,20.310156,19.496609,271.93171417,-1.22662647,2251799847239705
24.26248,24.281509,22.395411,21.502378,22.817616,271.96224034,-1.17005134,4503874916319512
23.085081,23.955772,24.341242,23.993525,19.833908,271.96220196,-1.16975997,11258999211032857
26.437462,24.039873,22.163898,21.132162,21.602381,271.98828777,-1.13453208,4503874782101760
24.207644,25.45472,23.687075,21.964937,22.246527,267.7976998,-0.63500009,140737656307729
24.863504,25.185743,24.341658,22.041786,22.100903,267.79808788,-0.63564079,140737631093009
26.662741,22.994177,21.350584,22.602142,22.549755,267.81562916,-0.66371282,2312598683801092112
23.300791,23.552816,22.611559,21.501673,21.737747,267.81423363,-0.66466196,4503874807267344
24.577087,24.833271,24.283274,22.428633,23.057053,267.81629952,-0.66470531,9007199397523729
24.588728,23.169485,21.983696,21.325762,21.528086,267.81473583,-0.65769112,2310346883987406864
23.968723,23.300543,21.788345,21.519218,21.592476,267.84041638,-0.76684488,2310346883995828240
24.873747,24.582077,21.563854,20.592352,20.075245,267.8564608,-0.79958,2312598683801092112
