,data,RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,K_mag,W1mag,W2mag,redshift,class
0,red_QSO,9.2492719,-1.2257127,22.615,21.288,20.191,19.659000000000002,18.47,16.569000000000003,13.63,11.673,10.507,0.2936,redQSO
1,red_QSO,10.881030699999998,-0.2575866,22.388,20.203,18.743,18.187,17.72,16.858,14.421,13.27,12.34,0.294,redQSO
2,red_QSO,10.9218858,0.8814744000000001,21.991,20.505,19.451,18.671,17.955,16.229,14.424000000000001,12.593,11.272,0.8284799999999999,redQSO
3,red_QSO,21.760538500000003,1.236781,20.344,19.006,17.985,17.494,17.26,15.819,14.517000000000001,13.999,12.992,1.14257,redQSO
4,red_QSO,50.697185299999994,0.0572607,18.83,18.115,17.843,17.559,17.601,16.305999999999997,14.647,12.672,11.505,0.6026600000000001,redQSO
5,red_QSO,53.20207239999999,-0.17011210000000002,20.872,19.969,18.517,17.984,17.387,16.581,14.698,13.761,13.005999999999998,0.30946999999999997,redQSO
6,red_QSO,123.302282,5.7024140999999995,21.737,19.750999999999998,18.206,17.637,17.067,16.008,14.469000000000001,13.154000000000002,12.258,0.295,redQSO
7,red_QSO,130.2928895,6.0344213,21.296999999999997,19.473,18.387,17.805,17.361,16.135,14.216,12.917,11.981,0.17,redQSO
8,red_QSO,131.2198568,13.7217571,20.219,19.041,18.055999999999997,17.566,17.444000000000003,15.984000000000002,14.062999999999999,12.273,11.292,0.193,redQSO
9,red_QSO,141.39031819999997,2.2284905,23.025,19.767,18.090999999999998,17.244,16.987000000000002,16.338,13.812000000000001,12.283,11.378,0.22801,redQSO
10,red_QSO,142.7531842,1.8053273,21.046999999999997,19.36,18.159000000000002,17.554000000000002,17.204,16.287,14.574000000000002,13.69,12.817,0.22,redQSO
11,red_QSO,145.6773629,14.105398999999998,21.436999999999998,20.392,19.144000000000002,18.749000000000002,17.842,16.58,14.387,12.536,11.359000000000002,0.34299999999999997,redQSO
12,red_QSO,146.0025017,5.8524996,21.784000000000002,19.897000000000002,18.705,18.156,17.244,16.7,14.555,13.165,12.085999999999999,0.36671,redQSO
13,red_QSO,151.10369269999998,12.4895939,25.363000000000003,23.986,21.872,20.074,19.410999999999998,16.496,14.530999999999999,13.674000000000001,12.833,2.658,redQSO
14,red_QSO,155.9255898,12.2731749,21.371,19.798,18.414,17.854,17.435,16.52,14.661,12.809000000000001,11.797,0.25,redQSO
15,red_QSO,156.13755049999997,5.6402567999999995,19.969,18.622,17.660999999999998,17.221,17.083,15.599,13.630999999999998,12.287,11.265,0.23800000000000002,redQSO
16,red_QSO,160.5921545,16.6875855,20.943,20.39,20.266,20.029,18.994,16.928,14.023,12.825,11.63,2.517,redQSO
17,red_QSO,166.5902246,2.3568311,21.579,19.609,18.56,17.869,17.652,16.2,14.614,12.728,11.454,0.57,redQSO
18,red_QSO,168.1867229,15.577474300000002,20.113,19.570999999999998,18.735,18.453,17.930999999999997,16.587,14.686,13.482000000000001,12.415,0.25709,redQSO
19,red_QSO,168.3441416,16.6340582,20.603,19.046,17.926,17.52,16.963,15.859000000000002,13.909,12.615,11.610999999999999,0.284,redQSO
20,red_QSO,173.61283600000002,10.0202439,20.248,19.055,18.406,17.875,17.671,16.498,14.571,13.628,12.53,0.5251899999999999,redQSO
21,red_QSO,176.08461619999997,11.583579199999999,17.965,16.930999999999997,16.153,16.003,15.507,14.335999999999999,11.968,10.238,9.198,0.2702,redQSO
22,red_QSO,178.7054674,11.451632400000001,20.881,20.039,18.919,18.604,18.082,16.707,14.057,11.814,10.457,0.29600000000000004,redQSO
23,red_QSO,181.07052280000002,9.039996400000001,21.04,19.566,18.46,17.961,17.558,16.447,14.582,13.185,12.210999999999999,0.247,redQSO
24,red_QSO,182.8666509,9.924233300000001,20.342,18.738,17.719,17.035,16.668,15.581,13.677,12.017000000000001,10.940999999999999,0.46447,redQSO
25,red_QSO,183.6101626,14.6452962,19.680999999999997,18.329,17.756,17.309,17.083,15.933,14.407,12.544,11.482000000000001,0.50129,redQSO
26,red_QSO,185.07028300000002,11.4411685,20.331,19.059,18.128,17.453,17.124000000000002,15.544,13.825999999999999,12.624,11.43,1.8953400000000002,redQSO
27,red_QSO,188.171448,11.2163231,20.884,19.862000000000002,18.717,18.374000000000002,17.963,16.772000000000002,14.261,12.407,11.062000000000001,0.25,redQSO
28,red_QSO,190.550508,4.6783254,22.366999999999997,21.861,20.42,19.245,18.65,16.676,14.677,13.02,11.761,0.63,redQSO
29,red_QSO,191.77035049999998,1.1074517,21.131999999999998,19.87,18.910999999999998,18.379,18.185,16.412,14.658,13.77,12.793,0.187,redQSO
30,red_QSO,192.1965253,5.5253154,21.534000000000002,21.028000000000002,20.658,20.338,19.828,18.082,14.629000000000001,12.257,10.879000000000001,0.7490000000000001,redQSO
31,red_QSO,192.6723006,13.3151201,20.985,19.703,18.437,18.203,17.69,16.546,14.427,13.18,12.252,0.3,redQSO
32,red_QSO,193.0538099,7.2512947,22.195,21.639,21.366999999999997,20.581999999999997,19.516,17.885,14.495999999999999,13.635,12.65,2.17,redQSO
33,red_QSO,194.8130727,7.496623,21.978,20.109,18.948,18.378,17.922,16.702,14.639000000000001,13.02,11.679,0.8616799999999999,redQSO
34,red_QSO,198.36439740000003,14.894043099999998,21.898000000000003,21.374000000000002,20.151,18.934,18.35,16.781,14.478,12.583,11.456,0.584,redQSO
35,red_QSO,200.5424155,8.7091412,20.668000000000003,20.179000000000002,19.208,18.71,18.375999999999998,16.657,14.648,13.29,12.261,0.325,redQSO
36,red_QSO,201.2930108,13.211274300000001,21.746,19.705,18.695999999999998,18.135,17.81,16.692999999999998,14.668,13.177999999999999,12.061,0.146,redQSO
37,red_QSO,204.9150509,3.5194098,19.827,19.05,18.08,17.648,17.459,16.107,14.588,12.952,11.924000000000001,0.24131,redQSO
38,red_QSO,205.16529530000003,5.2388082,20.831999999999997,19.944000000000003,19.065,18.523,17.735,16.163,13.255,11.575,10.389000000000001,0.26414,redQSO
39,red_QSO,205.46280880000003,8.5868231,21.906999999999996,19.938,18.742,18.051,17.802,16.809,14.401,13.155999999999999,11.914000000000001,0.22699999999999998,redQSO
40,red_QSO,208.26764,2.5032832000000003,20.22,19.16,18.154,17.555,17.34,15.998,13.811,12.142999999999999,10.979000000000001,0.22,redQSO
41,red_QSO,209.9473047,10.555139599999999,21.519000000000002,19.62,18.14,17.665,16.998,16.201,13.595999999999998,11.806,10.709000000000001,0.28300000000000003,redQSO
42,red_QSO,219.83733360000002,11.601496899999999,20.758000000000003,19.741,18.633,18.102999999999998,17.289,16.192999999999998,13.673,11.767999999999999,10.679,0.29600000000000004,redQSO
43,red_QSO,219.8746389,8.979545199999999,20.96,20.613000000000003,19.472,18.345,17.715,16.041,14.548,13.105,11.602,1.7590000000000001,redQSO
44,red_QSO,222.039727,5.6720161,20.322,19.48,18.403,18.24,17.492,16.244,14.18,12.698,11.456,0.28284000000000004,redQSO
45,red_QSO,223.15542889999998,8.8488092,21.958000000000002,19.983,18.497,18.006,17.117,15.918,14.14,12.317,11.114,0.307,redQSO
